OUTPUT A: 
ELE89019 ELE89019 1.0
ELE17451 ELE17451 1.0
ELE17451 ELE17451 1.0
ELE17451 ELE17451 1.0
FRO11987 FRO11987 1.0
SNA11465 SNA11465 1.0
SNA11465 SNA11465 1.0
GRO99222 GRO99222 1.0
SNA11465 SNA11465 1.0
GRO99222 GRO99222 1.0
OUTPUT B: 
ELE17451 ELE17451 1.0
FRO11987 FRO11987 1.0
FRO11987 FRO11987 1.0
FRO11987 FRO11987 1.0
ELE89019 ELE89019 0.857142857143
ELE89019 ELE89019 1.0
ELE89019 ELE89019 1.0
ELE17451 ELE17451 1.0
ELE17451 ELE17451 1.0
ELE17451 ELE17451 1.0
GRO99222 GRO99222 1.0
GRO99222 GRO99222 1.0
SNA90258 SNA90258 1.0
SNA90258 SNA90258 1.0
GRO99222 GRO99222 1.0
